ID,Name,Address,Rating,Rating_Count,Open_Close,Description,Latitude,Longitude,Sessional,TypeTravel,TourID,Ordinal_Numbers
49,Vườn hoa thành phố Đà Lạt,"02 Đ. Trần Nhân Tông, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,1450,07:00–22:00,"Một không gian rộng rãi và đẹp ngay trung tâm TP Đà lạt, ngay sát bờ hồ xuân hương, cũng có dịp đến đây nhiều lần với các bạn SInh viên Trường ĐH lâm nghiệp phân hiệu đồng Nai mỗi lần dẫn các bạn đi thực tập về cảnh quan, không chỉ riêng ở đây mà toàn bộ TP đà lạt cũng luôn trần đây sắc hoa đẹp và không khí 1 ngày bốn mùa thật là tuyệt cho nhưng ai muốn thay đổi cái không khí oi ả nhộn nhịp chốn thành phố.",11.95029002,108.4498364,Sáng,Vui chơi,4,2
50,Cổng trời Bali đà lạt ( GreenHills ),"3 Bis Đường Đống Đa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.6,1481,07:00–22:00,"Không gian không rộng lắm nhưng rất đẹp để chụp ảnh. Vé 100k/ người, được free 1 ly nước tự chọn, từ 50k đến 70k. Nhân viên hỗ trợ chụp ảnh. Điểm trừ là chờ nước uống và chờ nhân viên hỗ trợ chụp hình khá lâu vì khách đông.",11.92373954,108.4447182,Trưa,Tham quan,4,3
51,Cổng trời Bali đà lạt ( GreenHills ),"3 Bis Đường Đống Đa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.6,1481,07:00–22:00,"Không gian không rộng lắm nhưng rất đẹp để chụp ảnh. Vé 100k/ người, được free 1 ly nước tự chọn, từ 50k đến 70k. Nhân viên hỗ trợ chụp ảnh. Điểm trừ là chờ nước uống và chờ nhân viên hỗ trợ chụp hình khá lâu vì khách đông.",11.92373954,108.4447182,Sáng,Tham quan,5,1
52,Quán cà phê Wonderland,"Đèo, Mimosa, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,213,07:00–22:00,"Quán có không gian mở, ít cây to nên rất nắng, quán chỉ có một mặt hướng ra mặt đường nên hạn chế tầm nhìn bao quát xung quanh, trang trí nhiều tiểu cảnh từ cổng lên trên quán để sống ảo nhưng đẹp nhất vẫn là chụp lấy xuống con đường và đồi thông. Quán có vẻ hơi xuống cấp, nhà VS quá nhỏ và chưa được sạch. ",11.90813325,108.4489072,Sáng,Ăn uống ,5,2
53,Hầm Rượu Vang Vĩnh Tiến,"Vạn Thành, Phường 5, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.7,44,07:00–22:00,Điểm đến lí tưởng cho những ai muốn tìm hiểu về Rượu Vang.,11.94862001,108.4030356,Sáng,Tham quan,5,3
54,Chùa Tàu (Thiên Vương Cổ Sát),"31c Khe Sanh, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,304,07:00–17:30,"Một ngôi chùa cổ kính, tôi được biết đến ngôi Chùa này vào thập niên 90 và sự nổi tiếng của chiếc bàn xoay. Ngôi Chùa được tọa lạc ngay đầu đèo và 1 đỉnh núi, được bao quanh bởi hàng thông già cao ngút, nên nơi đây rất thoáng mát và trong lành, bạn sẽ cảm nhận được khi đến viếng Chùa lúc trưa nắng.",11.92791885,108.4602848,Trưa,Tham quan,5,4
55,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.93959282,108.4451687,Chiều,Tham quan,5,5
56,Phân viện sinh học Đà Lạt - Lâu đài Chocolate,"116 Xô Viết Nghệ Tĩnh, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,826,07:00–17:30,Viện nghiên cứu khoa học thì đang sửa chữa. Nhưng mà sẽ thấy 1 tờ giấy dán ngay chỗ cổng là khu tham quan chocolate vẫn hoạt động bình thường.,11.97824231,108.4216122,Chiều,Tham quan,5,6
58,Cồng chiêng Lang Biang,"312 Langbiang, Thị trấn Lạc Dương, Lạc Dương, Lâm Đồng, Việt Nam",4,161,07:00–22:00,"Múa cồng chiêng nhìn thú vị với vui lắm, mấy anh chị múa ở đây đẹp xĩu mà có cái giao lưu trong nhà vòm nên khói quá chờiii",12.0186716,108.4230718,Tối,Vui chơi,5,7
59,Khu du lịch Madagui,"Km 152, QL20, khu phố 1, Đạ Huoai, Lâm Đồng, Việt Nam",4.1,3277,Cả ngày,Không,11.41999958,108.4489072,Trưa,Vui chơi,6,1
60,Khu du lịch Lang Biang,"305 Langbiang, Thị trấn Lạc Dương, Lạc Dương, Lâm Đồng, Việt Nam",4.1,6554,07:00–22:00,"Núi Langbiang Đà Lạt là một trong những địa điểm tham quan, du lịch lâu đời bậc nhất tại Thành phố Đà Lạt. Không những vậy, ngọn núi này được mệnh danh là “nóc nhà của Đà Lạt”. Đứng trên đỉnh núi quý du khách có thể ngắm nhìn toàn cảnh Thành phố sương mù ở phía xa xa. Với một khung cảnh tuyệt đẹp, rất thơ mộng và lãng mạn. Không chỉ có quan cảnh đẹp, thơ mộng và lung linh.",12.02634354,108.4249412,Chiều,Tham quan,6,1
61,Phân viện sinh học Đà Lạt - Lâu đài Chocolate,"116 Xô Viết Nghệ Tĩnh, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,826,07:00–17:30,Viện nghiên cứu khoa học thì đang sửa chữa. Nhưng mà sẽ thấy 1 tờ giấy dán ngay chỗ cổng là khu tham quan chocolate vẫn hoạt động bình thường.,11.97824231,108.4216122,Sáng,Tham quan,6,2
62,XQ Đà Lạt Sử Quán,"80A Đường Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,2021,07:00–17:30,"XQ rất đẹp tham quan miễn phí, tranh nghệ thuật rất đẹp nên thử 1 lần để biết được lịch sử của dành thêu dệt",11.97824231,108.447725,Sáng,Tham quan,6,3
63,Bảo tàng Lâm Đồng,"4 Đ. Hùng Vương, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,184,07:00–17:30,"Bảo tàng Lâm Đồng là bảo tàng tổng hợp (khảo cứu địa phương), hiện đang lưu giữ trên 15.000 hiện vật với nhiều sưu tập hiện vật độc đáo và quý hiếm.",11.94060145,108.4598588,Chiều,Tham quan,6,4
64,Làng Cổ Tích,"Vạn Thành, Làng Hoa, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,669,07:00–17:30,"Địa điểm du lịch nằm ở làng hoa Vạn Thành, với kiến trúc theo phương Tây, đặc biệt là các ngôi nhà Hobbit trong phim Chúa Nhẫn, nơi đây bán các sản phẩm Đông trùng Hạ Thảo và cafe chồn.",11.94887001,108.4028943,Chiều,Ăn uống ,6,5
65,KOMBI LAND COFFEE,"Mimosa, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.7,907,07:00–22:00,"Trải nghiệm cũng khá thú vị tại đây, đường đi cũng cách trung tâm khá xa, giá vé là 90.000VND được tặng 1 đồ uống. Giá thì cũng khá ổn nhưng đồ uống chưa được chất lượng như các nơi khác (mô hình tương tự). Quán café ở Đà Lạt được nổi danh và dễ tìm thấy trên các kênh review về độ đẹp và “chất”.",11.89915258,108.4642931,Sáng,Ăn uống ,6,1
66,Đà Lạt View,"49 Khe Sanh, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4,2137,07:00–22:00,Đây thực ra là một nhà hàng chuyên ăn sáng cho các đoàn du lịch nên cảnh quan khá bình thường. Chỉ có trên đồi nên khá thông thoáng.,11.93358823,108.4581072,Sáng,Ăn uống ,6,2
67,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.93959282,108.4451687,Chiều,Tham quan,6,3
68,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095,108.4489072,Trưa,Tham quan,6,4
69,Cafe Panorama Đà Lạt,"Vòng Xoay 723, Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.3,1313,07:00–22:00,"Panorama là quán cà phê mà mình nhớ là đã hoạt động từ lâu ở khu vực Thung Lũng Đèn, Trại Mát (hình như là một trong những quán đầu tiên). Các bạn phục vụ món uống nóng (trà gừng, cà phê) và yaourt ngon lắm. Quán có thiết kế mở nên mình tận hưởng được không khí mát lạnh buổi hoàng hôn Đà Lạt.",11.94686762,108.4902526,Sáng,Ăn uống ,7,1
70,Đồi Chè Cầu Đất,"VHG6+VFX, Phát Chi, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,2192,Cả ngày,Đồi chè rất đẹp. Rộng rãi. Bây giờ có thêm mấy cái quạt gió quá đẹp. Buổi sáng các bạn ra săn mây là hợp lý luôn nha,11.87741908,108.5611834,Sáng,Tham quan,7,2
71,Cầu vàng Đà Lạt ,"WGW7+C67, Đường Tập, Đoàn 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,27,07:00–17:30,"Quán rộng mát mẻ, nước ngon, nhân viên dễ thương. Sẽ ghé lại và giới thiệu bạn bè. Giá vé 100k/ng bao gồm nước và phí vào cổng so với mặt bằng chung là quá ổn áp",11.94624532,108.5130465,Sáng,Ăn uống ,7,3
72,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.94466982,108.4994156,Chiều,Tham quan,7,4
73,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.93959282,108.4451687,Trưa,Tham quan,7,5
74,Hồ Tuyền Lâm,"Phường 4, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.6,1743,Cả ngày,Hồ nước nhân tạo rộng lớn nằm giữa rừng cây. Nơi đây nổi tiếng với cảnh quan tươi đẹp giữa thiên nhiên thanh tĩnh.,11.8995373,108.4306672,Chiều,Tham quan,7,6
75,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095,108.4489072,Sáng,Tham quan,7,7
76,Điểm Du Lịch Chuồn Chuồn,"thôn 5, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,543,07:00–22:00,"Khu du lịch Chuồn Chuồn cách thành phố Dalat tâm 22km, đi theo đường Làng hoa Vạn Thành… đi qua đèo Tà Nung , Chuồn Chuồn thuộc Mê Linh gần cfe Mê Linh luôn nè.. không gian rất là rộng lớn, với nhiều tầng chill, mình đi trễ quá, chỉ đứng được bên dưới chân thôi, nhưng thấy rất đẹp rồi, hẹn 1 lần không xa mình sẽ ghé lai quán",11.88922477,108.3492946,Sáng,Ăn uống ,7,1
77,Chùa Linh Ẩn,"Đường Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.7,3014,Cả ngày,Một ngôi chùa tuyệt vời. Không gian yên tĩnh và linh thiên. Nguồn năng lượng mạnh mẽ và tốt đẹp. Nhóm chúng tôi thống nhất với nhau khi cả 4 người đều cảm thấy khoẻ hơn và lòng mình an yên.,11.82464361,108.3335489,Sáng,Tham quan,7,2
78,Buffet rau - Thế giới rau ngon,"17 Đ. Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.2,185,07:00–17:30,"Quán rộng rãi, nhân viên cực dễ thương nhiệt tình từ anh bảo vệ tới bạn phục vụ. Quầy rau xanh tươi và nhiều sốt chấm. Tuy nhiên nước lẩu không đầu tư lắm, cảm giác hương liệu và bột nêm nhiều.",11.94231233,108.4368749,Trưa,Ăn uống ,7,3
79,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.94967124,108.4302471,Chiều,Tham quan,7,4
80,Nông Trại Cún Puppy Farm,"Cam Ly, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,6981,07:00–22:00,"Khu vườn bên sườn đồi có trang trại cà chua, những cánh đồng hoa cùng hoạt động hái dâu và vui chơi cùng chó.",11.96328471,108.3891041,Chiều,Vui chơi,7,5
81,Chùa Linh Ẩn,"Đường Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.7,3014,Cả ngày,Một ngôi chùa tuyệt vời. Không gian yên tĩnh và linh thiên. Nguồn năng lượng mạnh mẽ và tốt đẹp. Nhóm chúng tôi thống nhất với nhau khi cả 4 người đều cảm thấy khoẻ hơn và lòng mình an yên.,11.82464361,108.3335489,Sáng,Tham quan,8,1
82,Tu viện Bát Nhã,"511 Lý Thái Tổ, Đam Bri, Bảo Lộc, Lâm Đồng, Việt Nam",4.6,691,Cả ngày,"Nơi đáng viếng thăm, không gian chùa rộng, có nhiều chỗ đáng tham quan, vui chơi và ngắm hoàng hôn hoặc tổ chức cắm trại hoặc team building ngoài trời bên cạnh tu viện",11.6230355,107.7421418,Sáng,Tham quan,8,2
83,Khu du lịch Thác Đamb'ri,"Thôn 14 Lý Thái Tổ, Đam Bri, Bảo Lộc, Lâm Đồng, Việt Nam",4.3,5332,Cả ngày,Khung cảnh thiên nhiên hùng vĩ của núi rừng Tây Nguyên. Có 2 thác: 1 là thác Dasara ( thác nhỏ ) và 2 là thác Dambri ( thác lớn ). Quá tuyệt vời đáng để trải nghiệm. Tên người K’ho gọi Dambri - Nghĩa là “Đợi chờ”.,11.64224344,107.7428415,Chiều,Vui chơi,8,3
84,Thác Dasar,"2GHQ+78J, Đạ Sar, Lạc Dương, Lâm Đồng, Việt Nam",4.8,52,Cả ngày,"Là thác nước đẹp của Đà Lạt, nước mát trong lành, một địa điểm dân đam mê du lịch không thể bỏ qua. Thác nước rì rào, cùng với cây cối núi rừng tạo cảm giác rất thư giãn",12.02837238,108.5382056,Chiều,Tham quan,8,4
85,Cà phê Mê linh,"V8XR+7X, Tà Nung, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,42,07:00–22:00,"Quán rất rộng, nhiều khu vực chụp hình đẹp lung linh. Có cả khu vực cho thuê quần áo để bạn có thể ảo tung chảo, ảo banh nóc",11.89836247,108.3424664,Chiều,Ăn uống ,9,1
86,Mimo Hill,Mimo Hill,4.5,29,07:00–22:00,"Đến với Mimo Hill sẽ gặp 2 bạn chủ trẻ và rất thân thiện, dễ thương và vui vẻ. Cùng với bé cún tên ""heo"" cũng thân thiện không kém.",11.90788586,108.4633033,Chiều,Vui chơi,9,2
87,Nhà Hàng Thủy Tạ,"2 Đ. Trần Quốc Toản, Phường 4, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.9,1913,07:00–22:00,"Nhà hàng yên tĩnh này nhìn ra hồ, có chỗ ngồi ngoài trời, phục vụ món ăn và cà phê Việt Nam.",11.97824231,108.4419995,Tối,Ăn uống ,9,3
88,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.94466982,108.4994156,Sáng,Tham quan,9,1
89,QUÊ Garden - Vạn Thành,"Cam Ly, Phường 5, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",5,758,07:00–22:00,"Quán cà phê được chăm chút tốt, rất nhiều hoa hồng, cảnh quan rất đẹp. Có hồ cá nhỏ nhỏ nhưng đẹp. Thức uống 60k ngon, ko thu vé vào cửa. Bãi đỗ ô tô đối diện rất rộng. Rất hài lòng khi ghé quán.",11.95826243,108.3976258,Sáng,Ăn uống ,9,2
90,Tulu Tula ,"WG3J+755, QL20, Thôn Trường An Xã, Thành phố Đà Lạt, Lâm Đồng 66000, Việt Nam",3.7,7,07:00–17:30,Không,11.90338944,108.5304637,Trưa,Vui chơi,9,3
91,Đồi Chè Cầu Đất,"VHG6+VFX, Phát Chi, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,2192,Cả ngày,Đồi chè rất đẹp. Rộng rãi. Bây giờ có thêm mấy cái quạt gió quá đẹp. Buổi sáng các bạn ra săn mây là hợp lý luôn nha,11.87741908,108.5611834,Chiều,Tham quan,9,4
92,Thanh Nhu,"XC8V+GGC, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.8,38,07:00–22:00,"Quán có không gian rộng rãi, bày bán giá cả công khai như siêu thị. NHƯNG SẢN PHẨM KHÔNG CHẤT LƯỢNG. Mình mua 5 phần được tặng 1 phần, đa số mình mua là hàng sấy khô, nhưng sản phẩm bị yểu, mềm, lồng gió không còn giòn ngon nữa, mình có mua cả nui và bắp sấy thì nui và bắp bị chảy nước dính lại với nhau. Ở đây đa số tiếp khách đoàn, giá cả mình thấy cũng không rẻ hơn nhưng nơi khác.",11.96649031,108.4437942,Chiều,Tham quan,9,5
93,Buffet rau - Thế giới rau ngon,"17 Đ. Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.2,185,07:00–17:30,"Quán rộng rãi, nhân viên cực dễ thương nhiệt tình từ anh bảo vệ tới bạn phục vụ. Quầy rau xanh tươi và nhiều sốt chấm. Tuy nhiên nước lẩu không đầu tư lắm, cảm giác hương liệu và bột nêm nhiều.",11.94231233,108.4368749,Tối,Ăn uống ,9,6
94,Chợ Đêm Đà Lạt,"6b Đường Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng 690000, Việt Nam",4.2,11479,Cả ngày,"Khu chợ tấp nập các quầy hàng bán đồ gia dụng, đồ khô và món ăn địa phương chế biến sẵn.",11.94158381,108.4372788,Sáng,Ăn uống ,9,1
95,Nhà Thờ Salêdiêng Don Bosco,"4 Đường Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.7,203,07:00–17:30,"Nhà thờ mới xây và đẹp, khách tham quan cần mặc đồ kín đáo, không hở hang và không quá ngắn. Nhà thờ chỉ cho phép tham quan bên ngoài, không được vào trong",11.94558132,108.4406459,Sáng,Tham quan,9,2
